h1 depth,h1 nodes visited,h2 depth,h2 nodes visited,h3 depth,h3 nodes visited
16,5945,16,801,16,2503
11,51,11,13,11,44
3,4,3,4,3,4
10,30,10,17,10,21
5,6,5,6,5,6
21,2636458,21,70189,21,678933
11,168,11,25,11,115
4,5,4,5,4,5
4,5,4,5,4,5
12,124,12,33,12,81
4,5,4,5,4,5
20,643265,20,34372,20,219909
1,2,1,2,1,2
3,4,3,4,3,4
1,2,1,2,1,2
2,3,2,3,2,3
7,8,7,8,7,8
13,807,13,65,13,325
12,196,12,109,12,119
12,640,12,101,12,598
12,225,12,21,12,123
9,154,9,57,9,150
11,432,11,35,11,212
18,239395,18,17803,18,62172
8,13,8,11,8,11
5,7,5,6,5,6
3,4,3,4,3,4
7,11,7,10,7,10
13,1001,13,247,13,403
8,14,8,11,8,11
15,7217,15,5374,15,2576
11,127,11,15,11,41
1,2,1,2,1,2
15,18639,15,1130,15,10454
2,3,2,3,2,3
9,104,9,37,9,104
11,337,11,46,11,187
10,30,10,13,10,23
4,5,4,5,4,5
4,5,4,5,4,5
1,2,1,2,1,2
7,9,7,8,7,8
2,3,2,3,2,3
8,12,8,10,8,10
3,4,3,4,3,4
2,3,2,3,2,3
12,156,12,15,12,54
6,7,6,7,6,7
9,25,9,18,9,25
9,40,9,18,9,21
