h1 branching factor,h1 depth,h1 nodes visited,h2 branching factor,h2 depth,h2 nodes visited
152.71428571428572,14,2138,2.4285714285714284,14,34
3.5454545454545454,11,39,1.1818181818181819,11,13
1.4,5,7,1.4,5,7
1.7777777777777777,9,16,1.2222222222222223,9,11
26.363636363636363,11,290,8.363636363636363,11,92
1.7777777777777777,9,16,1.2222222222222223,9,11
1.3333333333333333,3,4,1.3333333333333333,3,4
2.1666666666666665,6,13,1.6666666666666667,6,10
18.166666666666668,12,218,1.1666666666666667,12,14
2.7142857142857144,7,19,2.2857142857142856,7,16
2.111111111111111,9,19,1.3333333333333333,9,12
1.3333333333333333,3,4,1.3333333333333333,3,4
6.888888888888889,9,62,3.6666666666666665,9,33
1.25,4,5,1.25,4,5
1.125,8,9,1.125,8,9
1.3333333333333333,3,4,1.3333333333333333,3,4
1.7142857142857142,7,12,1.4285714285714286,7,10
2.5,8,20,1.375,8,11
1.5,2,3,1.5,2,3
3611.0666666666666,15,54166,201.0,15,3015
1.6666666666666667,6,10,1.5,6,9
1.2,5,6,1.2,5,6
2.0,1,2,2.0,1,2
1.1666666666666667,6,7,1.1666666666666667,6,7
1327.75,16,21244,26.6875,16,427
1.5555555555555556,9,14,1.3333333333333333,9,12
1.4,5,7,1.2,5,6
0.0,0,1,0.0,0,1
1.4,5,7,1.2,5,6
51.25,12,615,21.0,12,252
1.1666666666666667,6,7,1.1666666666666667,6,7
10.5,10,105,2.4,10,24
1.125,8,9,1.125,8,9
6.545454545454546,11,72,1.1818181818181819,11,13
1.3333333333333333,3,4,1.3333333333333333,3,4
1.75,8,14,1.25,8,10
1.25,4,5,1.25,4,5
43.53846153846154,13,566,6.615384615384615,13,86
1.5,2,3,1.5,2,3
1.2,5,6,1.2,5,6
1.4444444444444444,9,13,1.4444444444444444,9,13
3.375,8,27,1.125,8,9
1.25,4,5,1.25,4,5
4.9,10,49,1.2,10,12
8.75,12,105,1.3333333333333333,12,16
2.0,1,2,2.0,1,2
116.53846153846153,13,1515,4.384615384615385,13,57
2.5,8,20,1.375,8,11
1.1666666666666667,6,7,1.1666666666666667,6,7
2.0,1,2,2.0,1,2
