h1 branching factor,h1 depth,h1 nodes visited,h2 branching factor,h2 depth,h2 nodes visited
0,0,1,0,0,1
0,0,1,0,0,1
0,0,1,0,0,1
2,1,2,2,1,2
2,1,2,2,1,2
1.5,2,3,1.5,2,3
1.5,2,3,1.5,2,3
1.333333333,3,4,1.333333333,3,4
1.333333333,3,4,1.333333333,3,4
1.333333333,3,4,1.333333333,3,4
1.333333333,3,4,1.333333333,3,4
1.333333333,3,4,1.333333333,3,4
1.333333333,3,4,1.333333333,3,4
1.333333333,3,4,1.333333333,3,4
1.333333333,3,4,1.333333333,3,4
1.333333333,3,4,1.333333333,3,4
1.25,4,5,1.25,4,5
1.25,4,5,1.25,4,5
1.25,4,5,1.25,4,5
1.25,4,5,1.25,4,5
1.4,5,7,1.4,5,7
1.2,5,6,1.2,5,6
1.4,5,7,1.2,5,6
1.4,5,7,1.4,5,7
1.5,6,9,1.5,6,9
2.5,6,15,1.166666667,6,7
1.166666667,6,7,1.166666667,6,7
1.166666667,6,7,1.166666667,6,7
1.142857143,7,8,1.142857143,7,8
1.571428571,7,11,1.571428571,7,11
1.125,8,9,1.125,8,9
1.375,8,11,1.25,8,10
1.75,8,14,1.5,8,12
1.5,8,12,1.375,8,11
3.125,8,25,2.625,8,21
1.75,8,14,1.25,8,10
2.444444444,9,22,1.111111111,9,10
19.22222222,9,173,5,9,45
1.222222222,9,11,1.111111111,9,10
3.9,10,39,1.2,10,12
3.4,10,34,1.2,10,12
60.5,10,605,21.3,10,213
1.8,10,18,1.1,10,11
16.33333333,12,196,1.583333333,12,19
91,12,1092,13.58333333,12,163
1492.714286,14,20898,176.3571429,14,2469
1145.3125,16,18325,10.25,16,164
2597.25,16,41556,194.1875,16,3107
1745.5625,16,27929,36.1875,16,579
80021.28571,21,1680447,1727.333333,21,36274
